Tp,Ts,Tb,Rp,Rs,Rb,Theta1 - Glass,Theta2 - Not Glass,Glass/Air,Air/Glass,P or S,Theta3 - Reflection
3.73,162.2,,,,,0,0,,TRUE,,
3.87,164.1,,,,,5,-2,,,,
3.92,166.2,,225.2,,,10,-4,,,,160
3.49,153.2,,224.1,,,15,-5,,,,151
3.59,150.4,,235.4,,,20,-6.5,,,,140
3.73,150.4,,252.7,,,25,-8,,,,131
3.83,154.9,,276.6,,,30,-10,,,,121
3.73,157.3,,295.7,,,35,-12,,,,111
3.78,156.8,,300.7,,,40,-14,,,,101
3.92,162.0,,323.2,,,45,-16,,,,91
3.87,159.2,,367.4,,,50,-18,,,,80
3.73,160.9,,410.3,,,55,-21,,,,70
3.68,158.0,,473.8,,,60,-23.5,,,,60
3.45,153.3,,601.9,,,65,-26.5,,,,50
3.02,159.8,,841.1,,,70,-29.5,,,,40
2.65,153.4,,1.22,,,75,-33,,,,30
1.94,131.2,,1.84,,,80,-36,,,,20
521.3,91.5,,2.88,,,85,-39,,,,10
,,,232.9,,,90,,,,,0
