Tp,Ts,Tb,Rp,Rs,Rb,Theta1 - Glass,Theta2 - Not Glass,Glass/Air,Air/Glass,P or S,Theta3 - Reflection
2.96 V,175.9 mV,130.8 mV,,,,5,2.5,TRUE,,0 degrees - P,
3.93 V,170 mV,145 mV,,,,0,0,TRUE,,90 degree - S,
3.74V,175 mV,108.8 mV,199.1 mV,,104 mV,10,5,,,,157.5
3.86 V,186.3 mV,122.6 mV,216.1 mV,,105 mV,15,7.5,,,,150
3.83 V,185 mV,126.3 mV,252.9 mV,,134.3 mV,20,10,,,,140
3.55 V,184.1 mV,125.5 mV,317.1 mV,,121.9 mV,25,13.5,,,,129.9
3.21 V,184.8 mV,139.8 mV,376.5 mV,,131.3 mV,30,19,,,,117
2.84 V,187.5 mV,132.2 mV,499.2 mV,,118.7 mV,35,22.5,,,,107.5
2.46 V or 1.81 V,174 mV,113.5 mV,1.33 V,92.91 mV,96.8 mV,40,34,,,,96.5
,,,2.98 V,154 mV,127.4 mV,45,,,,,90
,,,2.98 V,150.4 mV,88.3 mV,50,,,,,80
,,,3.17 V,155.4 mV,100.6 mV,55,,,,,70
,,,3.17 V,162.9 mV,113.1 mV,60,,,,,60
,,,3.26 V,167.3 mV,120.7 mV,65,,,,,50
,,,3.41 V,174.6 mV,113.6 mV,70,,,,,40
,,,3.48 V,166 mV,129.0 mV,75,,,,,30
,,,3.75 V,190.2 mV,125.2 mV,80,,,,,20
,,,4.06 V,192.4 mV,118.3 mV,85,,,,,9
,,,4.77 V,221.3 mV,111.6 mV,90,,,,,-2
